url,clus,pr,ha,la
https://cian.ru/sale/suburban/149500551,1,539780000,800,3500
https://cian.ru/sale/suburban/149500564,1,539780000,800,3500
https://cian.ru/sale/suburban/148262662,1,565180000,900,3600
https://cian.ru/sale/suburban/148262434,1,565180000,900,3600
https://cian.ru/sale/suburban/148155471,1,571530000,800,3500
https://cian.ru/sale/suburban/147541779,1,571530000,800,3500
https://cian.ru/sale/suburban/31603797,1,571530000,800,3600
https://cian.ru/sale/suburban/149666570,1,571530000,800,3600
https://cian.ru/sale/suburban/31777391,1,571530000,800,3600
https://cian.ru/sale/suburban/149904163,1,571530000,800,3600
https://cian.ru/sale/suburban/30235937,1,571530000,800,3600
https://cian.ru/sale/suburban/2498489,1,571530000,900,3600
https://cian.ru/sale/suburban/31740025,2,254010000,800,3400
https://cian.ru/sale/suburban/31649119,2,254010000,800,3400
https://cian.ru/sale/suburban/136734384,5,146250000,426,1900
https://cian.ru/sale/suburban/30773027,5,146250000,426,1900
https://cian.ru/sale/suburban/136739310,5,146250000,426,1900
https://cian.ru/sale/suburban/150316398,5,149230000,426,1800
https://cian.ru/sale/suburban/147541808,5,149230000,450,1800
https://cian.ru/sale/suburban/31507024,6,180000000,500,4000
https://cian.ru/sale/suburban/149904488,6,368320000,600,4000
https://cian.ru/sale/suburban/137298996,6,368320000,600,4000
https://cian.ru/sale/suburban/32099354,6,368320000,600,4000
https://cian.ru/sale/suburban/143193763,7,155580000,1300,6300
https://cian.ru/sale/suburban/143193694,7,155580000,1300,6300
https://cian.ru/sale/suburban/139008828,7,183590000,1300,6300
https://cian.ru/sale/suburban/2402002,7,183590000,1300,6300
https://cian.ru/sale/suburban/139008815,7,183590000,1300,6300
https://cian.ru/sale/suburban/12547193,7,187330000,1300,6300
https://cian.ru/sale/suburban/150316093,7,187330000,1300,6300
https://cian.ru/sale/suburban/148357541,8,311170000,1000,6600
https://cian.ru/sale/suburban/148589287,8,311170000,1000,6600
https://cian.ru/sale/suburban/147462467,8,311170000,598,6600
https://cian.ru/sale/suburban/6483118,8,311170000,600,6600
https://cian.ru/sale/suburban/31777561,10,1079570000,2147,20000
https://cian.ru/sale/suburban/149904189,10,1079570000,2147,20000
https://cian.ru/sale/suburban/31603929,10,1079570000,2147,20000
https://cian.ru/sale/suburban/5760114,10,1270080000,2147,20000
https://cian.ru/sale/suburban/30288563,10,1270080000,2250,20000
https://cian.ru/sale/suburban/147541898,10,1397090000,2500,19000
https://cian.ru/sale/suburban/32111559,11,222260000,600,2000
https://cian.ru/sale/suburban/31777626,12,158760000,560,2200
https://cian.ru/sale/suburban/31603981,12,158760000,560,2200
https://cian.ru/sale/suburban/149904205,12,158760000,560,2200
https://cian.ru/sale/suburban/31739893,12,311170000,560,2200
https://cian.ru/sale/suburban/150316925,12,311170000,560,2200
https://cian.ru/sale/suburban/31476286,12,311170000,560,2200
https://cian.ru/sale/suburban/31604157,13,174630000,500,2200
https://cian.ru/sale/suburban/31777851,13,174630000,500,2200
https://cian.ru/sale/suburban/149904250,13,174630000,500,2200
https://cian.ru/sale/suburban/150764094,13,180980000,500,2000
https://cian.ru/sale/suburban/2177135,13,180980000,500,2100
https://cian.ru/sale/suburban/31740163,17,317520000,750,3000
https://cian.ru/sale/suburban/150316571,17,317520000,750,3000
https://cian.ru/sale/suburban/25226946,17,317520000,750,3000
https://cian.ru/sale/suburban/2701907,18,635040000,840,1800
